id,x,y,prob0,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,type
34,0.3330713,0.48872626,0.0,0.3686963,0.0,0.5110432,0.0,0.0,0.11331879,0.0,0.0,0.0,3
35,0.32002875,0.13199602,0.0,0.0,0.0,0.9508243,0.0,0.0,0.0,0.041549977,0.0,0.0,3
36,0.105272725,0.33018875,0.0,0.0,0.0,0.0,0.0,0.0,0.7193612,0.103431195,0.17040367,0.0,6
37,0.37148502,0.5889947,0.01644244,0.24491535,0.0,0.0,0.24185285,0.0,0.3391383,0.149404,0.0,0.0,6
38,0.9307426,0.60485756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9902928,0.0,0.0,7
39,0.2614336,0.78145504,0.0,0.0,0.0,0.0,0.6165209,0.0,0.0,0.0,0.0,0.37754306,4
40,0.15895624,0.28672722,0.0,0.0,0.06955094,0.12017443,0.0,0.0,0.8050815,0.0,0.0,0.0,6
41,0.25992313,0.3989287,0.0,0.0,0.0,0.0,0.3187612,0.0,0.57333624,0.0,0.0,0.100669645,6
42,0.36896124,0.3296072,0.0,0.0,0.0,0.46903595,0.0,0.20495112,0.3182985,0.0,0.0,0.0,3
43,0.44051078,0.2198606,0.2215816,0.0,0.0,0.38498837,0.0,0.38626027,0.0,0.0,0.0,0.0,5
44,0.4321836,0.036907163,0.0,0.0,0.509152,0.0,0.084510975,0.0,0.35688758,0.0,0.046441726,0.0,2
45,0.1617416,0.7201154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923018,9
46,0.08000891,0.59708136,0.0,0.0,0.0,0.0,0.37770793,0.0,0.0,0.0,0.61439973,0.0,8
47,0.22257443,0.6974575,0.0,0.0,0.0,0.0,0.124432884,0.0,0.09383867,0.0,0.0,0.77587664,9
48,0.5738163,0.06584031,0.0,0.049978163,0.66682714,0.0,0.0,0.0,0.0,0.0,0.15890996,0.11821204,2
49,0.54817164,0.16469894,0.0,0.0,0.41849753,0.26325446,0.0,0.0,0.0,0.31192526,0.0,0.0,2
50,0.34089172,0.1893769,0.0,0.0,0.0,0.84348094,0.0,0.0,0.0,0.15156725,0.0,0.0,3
51,0.5405593,0.63484365,0.93617505,0.0,0.0,0.0,0.0,0.0,0.0,0.059496585,0.0,0.0,0
52,0.7026759,0.14726374,0.12361378,0.0,0.7856252,0.0,0.0,0.0,0.0,0.0835979,0.0,0.0,2
53,0.7942536,0.6386073,0.05237094,0.0,0.0,0.0,0.0,0.0,0.0,0.8724214,0.0,0.07071139,7
54,0.36748436,0.8007986,0.0,0.0,0.0,0.0,0.49028963,0.0,0.18194199,0.0,0.3201394,0.0,4
55,0.75289714,0.5692722,0.0,0.0,0.0,0.0,0.30495012,0.0,0.0,0.43546626,0.25352937,0.0,7
56,0.5757617,0.3225574,0.0,0.0,0.0,0.024640257,0.0,0.9700901,0.0,0.0,0.0,0.0,5
57,0.19229613,0.25592223,0.11166161,0.0,0.0,0.0,0.0,0.0,0.88359064,0.0,0.0,0.0,6
58,0.45007077,0.9295804,0.0,0.0,0.0,0.0,0.9870113,0.0,0.0,0.0,0.0,0.0,4
59,0.58356285,0.6134812,0.7158939,0.0,0.0,0.0,0.0,0.0,0.0,0.23488891,0.0,0.043697152,0
60,0.24634373,0.6288953,0.0,0.0,0.09253725,0.19788937,0.0,0.0,0.0,0.0,0.0,0.70396763,9
61,0.14025722,0.5323338,0.0,0.0,0.0,0.0,0.18812343,0.0,0.31319278,0.0,0.4944576,0.0,8
62,0.9682797,0.5562011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916554,0.0,0.0,7
63,0.23069125,0.3022794,0.0,0.0,0.0,0.0,0.04842167,0.1886269,0.7508561,0.0,0.0,0.0,6
64,0.41811427,0.16394247,0.0,0.0,0.0,0.68327063,0.0,0.3095077,0.0,0.0,0.0,0.0,3
65,0.21982984,0.6658825,0.0,0.0,0.0,0.0,0.0,0.0,0.27746737,0.0,0.0,0.71708345,9
66,0.563683,0.03124915,0.0,0.0,0.6080197,0.0,0.0,0.0,0.1791676,0.0,0.20587339,0.0,2
67,0.33933574,0.62024534,0.0,0.080103785,0.0,0.0,0.0,0.5296899,0.0,0.0,0.0,0.3830504,5
68,0.31826082,0.05268546,0.0,0.0,0.0,0.99133873,0.0,0.0,0.0,0.0,0.0,0.0,3
69,0.4225684,0.97248584,0.0,0.0,0.0,0.0,0.99260354,0.0,0.0,0.0,0.0,0.0,4
70,0.107618675,0.38522622,0.0,0.0,0.0,0.0,0.0,0.0,0.5021954,0.0,0.49216202,0.0,6
71,0.5322336,0.8149464,0.0,0.0,0.30051422,0.05130513,0.4048575,0.0,0.124575004,0.0,0.11581775,0.0,4
72,0.5806217,0.8464498,0.04337817,0.0,0.13105716,0.0,0.71435785,0.0,0.0,0.10744997,0.0,0.0,4
73,0.41594002,0.9790775,0.0,0.0,0.0,0.0,0.9930665,0.0,0.0,0.0,0.0,0.0,4
74,0.7469645,0.14797124,0.0,0.0,0.8068332,0.0,0.0,0.0,0.0,0.18627816,0.0,0.0,2
75,0.5581472,0.3209527,0.0,0.0,0.0,0.0,0.0,0.9253556,0.0668624,0.0,0.0,0.0,5
76,0.25588733,0.30805442,0.039612904,0.0,0.0,0.0,0.0,0.2839109,0.6700451,0.0,0.0,0.0,6
77,0.37381214,0.4434461,0.19986892,0.0,0.0,0.0,0.0,0.0,0.4963207,0.30066502,0.0,0.0,6
78,0.6757837,0.11047798,0.0,0.0,0.9555219,0.0,0.0,0.038499843,0.0,0.0,0.0,0.0,2
79,0.723892,0.12326716,0.0,0.0,0.91397643,0.0,0.0,0.0,0.0,0.07956496,0.0,0.0,2
80,0.5593284,0.3368203,0.0,0.0,0.0,0.06382787,0.0,0.93075806,0.0,0.0,0.0,0.0,5
